Species	Temperature	Mass_mg	Metabolic_rate_μW
Anoplolepis steinergroeveri	20	0.94	5.6
Anoplolepis steinergroeveri	20	0.98	1.8
Anoplolepis steinergroeveri	20	1.15	2.3
Anoplolepis steinergroeveri	20	1.17	3.6
Anoplolepis steinergroeveri	20	1.59	3.5
Anoplolepis steinergroeveri	20	1.90	3.7
Anoplolepis steinergroeveri	20	2.90	8.8
Anoplolepis steinergroeveri	20	3.32	7.7
Anoplolepis steinergroeveri	20	4.30	11.2
Anoplolepis steinergroeveri	20	4.64	6.9
Anoplolepis steinergroeveri	20	4.74	9.0
Anoplolepis steinergroeveri	20	4.87	9.1
Anoplolepis steinergroeveri	20	5.58	9.8
Anoplolepis steinergroeveri	20	6.02	13.0
Anoplolepis steinergroeveri	20	6.58	13.3
Anoplolepis steinergroeveri	20	6.60	12.0
Anoplolepis steinergroeveri	20	6.95	13.1
Anoplolepis steinergroeveri	20	6.97	7.9
Anoplolepis steinergroeveri	20	7.11	7.2
Anoplolepis steinergroeveri	20	7.28	9.1
Anoplolepis steinergroeveri	20	7.33	9.8
Anoplolepis steinergroeveri	20	7.48	6.9
Anoplolepis steinergroeveri	20	7.87	14.7
Anoplolepis steinergroeveri	20	8.30	16.4
Anoplolepis steinergroeveri	20	8.80	7.5
Anoplolepis steinergroeveri	20	8.90	9.7
Anoplolepis steinergroeveri	20	10.24	9.4
Anoplolepis steinergroeveri	20	10.48	12.5
Atta columbica	25	3.60	14.6
Atta columbica	25	4.50	8.6
Atta columbica	25	4.50	14.6
Atta columbica	25	4.90	13.3
Atta columbica	25	7.40	22.9
Atta columbica	25	8.30	13.2
Atta columbica	25	10.40	21.3
Atta columbica	25	10.40	23.6
Atta columbica	25	11.40	23.1
Atta columbica	25	12.00	17.9
Atta columbica	25	12.00	18.9
Atta columbica	25	12.30	48.9
Atta columbica	25	12.70	26.6
Atta columbica	25	13.50	26.4
Atta columbica	25	15.00	25.7
Atta columbica	25	16.00	16.7
Atta columbica	25	16.00	23.6
Atta columbica	25	17.60	29.9
Atta columbica	25	19.00	51.8
Atta columbica	25	19.20	36.2
Atta columbica	25	19.90	29.8
Atta columbica	25	21.50	33.7
Atta columbica	25	22.20	49.1
Atta columbica	25	23.50	52.5
Atta columbica	25	24.40	30.7
Atta columbica	25	26.70	41.2
Atta columbica	25	33.30	36.5
Camponotus fulvopilosus	25	10.85	17.9
Camponotus fulvopilosus	25	13.86	26.5
Camponotus fulvopilosus	25	14.48	25.7
Camponotus fulvopilosus	25	14.71	24.9
Camponotus fulvopilosus	25	22.15	30.7
Camponotus fulvopilosus	25	22.69	43.9
Camponotus fulvopilosus	25	23.38	44.5
Camponotus fulvopilosus	25	24.31	26.4
Camponotus fulvopilosus	25	24.38	43.5
Camponotus fulvopilosus	25	27.46	65.5
Camponotus fulvopilosus	25	27.62	39.7
Camponotus fulvopilosus	25	32.02	28.0
Camponotus fulvopilosus	25	33.51	48.9
Camponotus fulvopilosus	25	39.68	49.7
Camponotus fulvopilosus	25	47.92	63.2
Camponotus fulvopilosus	25	49.17	37.9
Camponotus fulvopilosus	25	53.90	79.3
Camponotus fulvopilosus	25	58.31	43. 1
Camponotus fulvopilosus	25	59.49	48.9
Camponotus fulvopilosus	25	59.66	81.0
Camponotus fulvopilosus	25	84.74	84.9
Camponotus fulvopilosus	25	88.95	80.1
Camponotus fulvopilosus	25	106.06	86.1
Camponotus fulvopilosus	25	155.30	72.7
Camponotus maculatus	20	7.70	17.4
Camponotus maculatus	20	10.40	16.3
Camponotus maculatus	20	10.80	24.1
Camponotus maculatus	20	10.90	21.2
Camponotus maculatus	20	11.00	16.3
