Species	Family	Order	Method	Wing_status	Mass_mg	Metabolic_rate_µW
Unknown species	Meinertellidae	Archaeognatha	Open	0	12.75	38.3
Species (Sutherland)	Lepismatidae	Thysanura	Open	0	23.04	36.9
Species (Stellenbosch)	Lepismatidae	Thysanura	Open	0	26.64	23
Species (Cederberg)	Lepismatidae	Thysanura	Open	0	17.8	42.3
Anax junius	Aeschnidae	Odonata	Closed	1	1019	4148.4
Brachymesia gravida	Libellulidae	Odonata	Closed	1	344	1555.6
Erythemis simplicicollis	Libellulidae	Odonata	Closed	1	263	877.5
Erythrodiplax berenice	Libellulidae	Odonata	Closed	1	125	438.8
Erythrodiplax connata	Libellulidae	Odonata	Closed	1	52	191.5
Libellula auripennis	Libellulidae	Odonata	Closed	1	464	1396.1
Libellula needhami	Libellulidae	Odonata	Closed	1	518	1675.3
Miathyria marcella	Libellulidae	Odonata	Closed	1	17.1	765.9
Pachydiplax longipennis	Libellulidae	Odonata	Closed	1	200	1765.2
Pantala flavescens	Libellulidae	Odonata	Closed	1	339	1675.3
Perithemis tenera	Libellulidae	Odonata	Closed	1	61	331.1
Tramea carolina	Libellulidae	Odonata	Closed	1	383	1795
Coptotermes formosanus	Rhinotermitidae	Isoptera	Open	0	2.95	8.1
Heterotermes tenuior	Rhinotermitidae	Isoptera	Closed	0	1.4	1.9
Reticulitermes flavipes	Rhinotermitidae	Isoptera	Open	0	2.97	12
Schedorhinotermes javanicus	Rhinotermitidae	Isoptera	Closed	0	2.7	2.9
Schedorhinotermes sarawakensis	Rhinotermitidae	Isoptera	Closed	0	8.3	17.9
Labritermes kistneri	Termitidae	Isoptera	Closed	0	0.7	2
Dicuspiditermes nemorosus	Termitidae	Isoptera	Closed	0	3.5	1.7
Dicuspiditermes santschii	Termitidae	Isoptera	Closed	0	2.6	0.6
Homallotermes eleanorae	Termitidae	Isoptera	Closed	0	2.2	1.5
Pericapritermes nitobei	Termitidae	Isoptera	Closed	0	1.2	1.2
Pericapritermes semarangi	Termitidae	Isoptera	Closed	0	1.3	0.8
Procapritermes nr. sandakanensis	Termitidae	Isoptera	Closed	0	5.9	2.4
Syncapritermes sp. A	Termitidae	Isoptera	Closed	0	6.7	3.1
Termes borneensis	Termitidae	Isoptera	Closed	0	3	2.1
Globitermes globosus	Termitidae	Isoptera	Closed	0	1.9	1.4
Prohamitermes mirabilis	Termitidae	Isoptera	Closed	0	3.5	1.9
Aciculioiditermes sp. A	Termitidae	Isoptera	Closed	0	1.8	1.8
Bulbitermes sp. C	Termitidae	Isoptera	Closed	0	2.8	2.3
Havilanditermes atripennis	Termitidae	Isoptera	Closed	0	8	8
Hospitalitermes hospitalis	Termitidae	Isoptera	Closed	0	7.7	5.6
Nasutitermes longinasus	Termitidae	Isoptera	Closed	0	2.6	1.5
Proaciculitermes sp. A	Termitidae	Isoptera	Closed	0	1.1	0.8
Proaciculitermes sp. E	Termitidae	Isoptera	Closed	0	2.7	1.4
Hypotermes xenotermites	Termitidae	Isoptera	Closed	0	2.6	2.9
Macrotermes carbonarius	Termitidae	Isoptera	Closed	0	11.93	51.8
Macrotermes gilvus	Termitidae	Isoptera	Closed	0	7	5.5
Macrotermes malaccensis	Termitidae	Isoptera	Closed	0	11.6	14.1
Microcerotermes dubius	Termitidae	Isoptera	Closed	0	2.2	2.9
Microcerotermes serrula	Termitidae	Isoptera	Closed	0	1.9	2.2
Blatta orientalis	Blattidae	Blattodea	Closed	0	325	555.9
Eublaberus posticus	Blattidae	Blattodea	Open	1	2200	4219.5
Periplaneta americana	Blattidae	Blattodea	Open	1	900	979.4
Periplaneta orientalis	Blattidae	Blattodea	Closed	1	165	307.9
Blatella germanica	Blattellidae	Blattodea	Closed	1	54.76	203.3
Byrsotria fumagata	Blattellidae	Blattodea	Open		4950	5584.6
Gromphadorhina chopardi	Blattellidae	Blattodea	Open	0	3400	2685.1
Gromphadorihna portentosa	Blattellidae	Blattodea	Open	0	4950	4747
Parcoblatta sp.	Blattellidae	Blattodea	Closed		73	92
Blaberus discoidalis	Blaberidae	Blattodea	Open	1	4080	3912.6
Blaberus giganteus	Blaberidae	Blattodea	Open	1	4330	3646.4
Leucophaea maderae	Blaberidae	Blattodea		1	2800	2903.9
Nauphoeta cinerea	Blaberidae	Blattodea	Closed	1	510	732.2
Perisphaeria sp.	Blaberidae	Blattodea	Open	1	324.1	196.8
Sphodromantis gastrica	Mantidae	Mantodea	Open	1	335.7	611.6
Karoophasma biedouwensis	Austrophasmatidae	Mantophasmatodea	Open	0	103.95	317.9
Oecanthus quadripunctatus	Gryllidae	Orthoptera	Closed	1	50	134.3
Enyaliopsis petersi	Gryllidae	Orthoptera	Closed		750	1525.7
Eugaster loricatus	Gryllidae	Orthoptera	Closed		1580	1762.1
Hophlosphyrum griseus	Gryllidae	Orthoptera	Closed	1	36.2	79.9
Pternonemobius fasciatus	Gryliidae	Orthoptera	Closed		26.17	469.5
Acheta domesticus	Gryllidae	Orthoptera	Open	1	369	1138.6
