Name,Affiliation,Expertise
Amy Apprill,Woods Hole Oceanographic Institute (USA),Marine microbial ecology
David Coil,U. California Davis (USA),Microbiology; Molecular Biology
Rachel  Collin,STRI (Panama),Marine Biology; Evolutionary Biology; Taxonomy
Emmett Duffy,Smithsonian National Museum of Natural History (USA),Marine Biology; Marine Ecology; Biodiversity
Jonathan Eisen,U. California Davis (USA),Genomics; Microbial Diversity; Evolution; Microbial Ecology; Microbiology
A. Murat Eren (Meren),U. of Chicago (USA),Microbial Ecology; Metagenomics; Computational Biology; Bioinformatics
Allen  Herre,STRI (Panama),Ecology; Symbiosis; Plant-Fungal interactions
Jon  Kaye,Moore Foundation (USA),Microbial ecology of deep-sea hydrothermal systems
Matthieu Leray (Matt),STRI (Panama),Marine biodiversity; ecosystem functioning; microbial ecology;
Noelle Lucy,STRI (Panama),Marine; Biology; Evolution; Climate Change; Biodiversity
Harilaos Lessios (Haris),STRI (Panama),Molecular evolution of Marine Organisms
Jennifer McMillan (Jenny),Smithsonian Institution (USA),Associate Director of Advancement;
Luis Mejia,INDICASAT (Panama),Plant-Microbe interactions; Biosystematics of Fungi; Biological Control; Plant Diseases;
Aaron O'Dea,STRI (Panama),Marine Historical Ecology; Marine Paleobiology; Ecology
Raquel Peixoto,Federal University of Rio de Janeiro (Brazil),Microbiologia
Tiago Pereira,University of California—Riverside  (USA),Anidrobiose; animação suspensa; genética molecular
Douglas Rasher (Doug),Bigelow Laboratory for Ocean Sciences (USA),Marine ecology; global change biology; chemical ecology; conservation biology
Ross Robertson,STRI (Panama),Biogeography of neotropical reef fishes
Jarrod Scott,STRI (Panama),Microbial ecology
Katherine Sharp (Koty),Roger Williams University (USA),Marine invertebrate-bacterial symbiosis; bioactive compound biosynthesis;  marine natural products; larval ecology
Emilia Sogin (Maggie),Max Planck Institute for Marine Microbiology (Germany),Coral; microbial symbiosis; metabolomics;
Robert Thacker (Bob),Stony Brook University (USA),Ecology; Evolution; Systematics;
Rebecca Vega Thurber (Becky),Oregon State University (USA),Microbiology; marine biology; symbiosis; virology; metagenomics
William Wcislo (Bill),STRI (Panama),Behavior Ecology
Lizzy Wilbanks,U. California Santa Barbara (USA),Community functional ecology
Laetitia Wilkins,U. California Davis (USA),Evolution; ecology; host-bacteria interactions; metagenomics; transcriptomics
Benedict  Yuen,U. of Vienna (Austria),DETAILS
